K,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,262144,3.466,0.000,4.271,0.000,7.737
26,262144,6.690,0.000,8.513,0.000,15.204
27,262144,13.327,0.000,17.516,0.000,30.843
28,262144,32.120,0.000,36.658,0.000,68.777
29,262144,60.651,0.000,76.117,0.000,136.768
30,262144,118.940,0.000,107.685,0.000,226.625
31,262144,242.569,0.000,178.727,0.000,421.296
32,262144,660.920,0.000,135.360,0.000,796.281
33,262144,1823.408,0.034,0.000,0.000,1823.441
