K,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,16384,4.378,0.000,0.319,0.000,4.697
26,16384,9.050,0.000,0.677,0.000,9.727
27,16384,19.674,0.000,0.855,0.000,20.529
28,16384,40.361,0.000,0.724,0.000,41.085
29,16384,82.870,0.000,1.051,0.000,83.921
30,16384,79.105,126.925,0.853,0.000,206.883
31,16384,152.079,257.587,0.858,0.000,410.524
32,16384,333.008,521.779,0.861,0.000,855.647
